dataset,query_id,financebench_id,company,doc_name,bank_name,query,ground_truth_chunk_id,top1_chunk_id,top5_chunk_ids,correct_at_1,ground_truth_rank_top5,diagnostic_category,latency_seconds,top1_latency_seconds,top5_latency_seconds,top1_input_tokens,top1_output_tokens,top5_input_tokens,top5_output_tokens
FinanceBench,financebench_id_08135,financebench_id_08135,Amazon,AMAZON_2017_10K,,What is Amazon's year-over-year change in revenue from FY2016 to FY2017 (in units of percents and round to one decimal place)? Calculate what was asked by utilizing the line items clearly shown in the statement of income.,AMAZON_2017_10K_0013,AMAZON_2017_10K_0013,AMAZON_2017_10K_0013|AMAZON_2017_10K_0011|AMAZON_2017_10K_0010|AMAZON_2017_10K_0012|AMAZON_2017_10K_0009,1,1.0,both_rank1,132.175,19.92,132.175,58542,1082,158750,8191
FinanceBench,financebench_id_08286,financebench_id_08286,Amazon,AMAZON_2019_10K,,"By drawing conclusions from the information stated only in the income statement, what is Amazon's FY2019 net income attributable to shareholders (in USD millions)?",AMAZON_2019_10K_0016,AMAZON_2019_10K_0016,AMAZON_2019_10K_0016|AMAZON_2019_10K_0013|AMAZON_2019_10K_0012|AMAZON_2019_10K_0015|AMAZON_2019_10K_0026,1,1.0,both_rank1,92.83,18.011,92.83,58586,1153,151955,6584
FinanceBench,financebench_id_01935,financebench_id_01935,Amcor,AMCOR_2022_8K_dated-2022-07-01,,What was the key agenda of the AMCOR's 8k filing dated 1st July 2022?,AMCOR_2022_8K_dated_2022_07_01_0001,AMCOR_2022_8K_dated_2022_07_01_0001,AMCOR_2022_8K_dated_2022_07_01_0001|AMCOR_2022_8K_dated_2022_07_01_0002|AMCOR_2022_8K_dated_2022_07_01_0005|AMCOR_2022_8K_dated_2022_07_01_0017|AMCOR_2022_8K_dated_2022_07_01_0006,1,1.0,both_rank1,78.7,19.348,78.7,15352,1317,32311,5730
FinanceBench,financebench_id_01936,financebench_id_01936,Amcor,AMCOR_2023Q2_10Q,,What is the nature & purpose of AMCOR's restructuring liability as oF Q2 of FY2023 close?,AMCOR_2023Q2_10Q_0011,AMCOR_2023Q2_10Q_0011,AMCOR_2023Q2_10Q_0011|AMCOR_2023_10K_0019|AMCOR_2023_10K_0010,1,1.0,both_rank1,181.255,18.831,181.255,39924,1497,223541,12647
FinanceBench,financebench_id_01928,financebench_id_01928,Amcor,AMCOR_2023Q4_EARNINGS,,What Was AMCOR's Adjusted Non GAAP EBITDA for FY 2023,AMCOR_2023Q4_EARNINGS_0018,AMCOR_2023Q4_EARNINGS_0018,AMCOR_2023Q4_EARNINGS_0018|AMCOR_2023Q4_EARNINGS_0000|AMCOR_2023Q4_EARNINGS_0019|AMCOR_2023Q4_EARNINGS_0011|AMCOR_2023Q4_EARNINGS_0012,1,1.0,both_rank1,83.487,26.365,83.487,26211,1747,72533,5339
FinanceBench,financebench_id_01930,financebench_id_01930,Amcor,AMCOR_2023Q4_EARNINGS,,"How much was the Real change in Sales for AMCOR in FY 2023 vs FY 2022, if we exclude the impact of FX movement, passthrough costs and one-off items?",AMCOR_2023Q4_EARNINGS_0017,AMCOR_2023Q4_EARNINGS_0017,AMCOR_2023Q4_EARNINGS_0017|AMCOR_2023Q4_EARNINGS_0004|AMCOR_2023Q4_EARNINGS_0000|AMCOR_2023Q4_EARNINGS_0003|AMCOR_2023Q4_EARNINGS_0002,1,1.0,both_rank1,131.645,34.635,131.645,24571,2382,70143,9905
FinanceBench,financebench_id_00799,financebench_id_00799,Amcor,AMCOR_2023_10K,,"Has AMCOR's quick ratio improved or declined between FY2023 and FY2022? If the quick ratio is not something that a financial analyst would ask about a company like this, then state that and explain why.",AMCOR_2023_10K_0016,AMCOR_2023_10K_0016,AMCOR_2023_10K_0016|AMCOR_2023_10K_0010|AMCOR_2023_10K_0019|AMCOR_2023_10K_0015|AMCOR_2023_10K_0012,1,1.0,both_rank1,172.073,28.331,172.073,33394,1802,170892,10058
FinanceBench,financebench_id_01079,financebench_id_01079,Amcor,AMCOR_2023_10K,,"What are major acquisitions that AMCOR has done in FY2023, FY2022 and FY2021?",AMCOR_2023_10K_0019,AMCOR_2023_10K_0019,AMCOR_2023_10K_0019|AMCOR_2023Q2_10Q_0011|AMCOR_2023Q4_EARNINGS_0004|AMCOR_2023_10K_0010,1,1.0,both_rank1,199.07,199.07,199.07,314290,11566,314290,11566
FinanceBench,financebench_id_01148,financebench_id_01148,Amcor,AMCOR_2023_10K,,What industry does AMCOR primarily operate in?,AMCOR_2023_10K_0001,AMCOR_2023_10K_0002,AMCOR_2023_10K_0002|AMCOR_2023_10K_0019|AMCOR_2023_10K_0001|AMCOR_2023_10K_0010|AMCOR_2023_10K_0000,0,3.0,mrr_lower_only,66.56,19.951,66.56,37930,1210,167526,4198
FinanceBench,financebench_id_00684,financebench_id_00684,Amcor,AMCOR_2023_10K,,"Does AMCOR have an improving gross margin profile as of FY2023? If gross margin is not a useful metric for a company like this, then state that and explain why.",AMCOR_2023_10K_0014,AMCOR_2023_10K_0010,AMCOR_2023_10K_0010|AMCOR_2023_10K_0011|AMCOR_2023_10K_0014|AMCOR_2023_10K_0019|AMCOR_2023_10K_0013,0,3.0,mrr_lower_only,107.956,23.105,107.956,45721,1801,165302,8166
FinanceBench,financebench_id_00222,financebench_id_00222,AMD,AMD_2022_10K,,"Does AMD have a reasonably healthy liquidity profile based on its quick ratio for FY22? If the quick ratio is not relevant to measure liquidity, please state that and explain why.",AMD_2022_10K_0014,AMD_2022_10K_0014,AMD_2022_10K_0014|AMD_2022_10K_0012|AMD_2022_10K_0013|AMD_2022_10K_0011,1,1.0,both_rank1,84.598,19.977,84.598,59534,1675,167710,6159
FinanceBench,financebench_id_00995,financebench_id_00995,AMD,AMD_2022_10K,,What are the major products and services that AMD sells as of FY22?,AMD_2022_10K_0002,AMD_2022_10K_0003,AMD_2022_10K_0003|AMD_2022_10K_0002|AMD_2022_10K_0014|AMD_2022_10K_0001|AMD_2022_10K_0012,0,2.0,mrr_lower_only,86.608,19.126,86.608,40493,887,153099,5266
FinanceBench,financebench_id_01198,financebench_id_01198,AMD,AMD_2022_10K,,What drove revenue change as of the FY22 for AMD?,AMD_2022_10K_0012,AMD_2022_10K_0012,AMD_2022_10K_0012|AMD_2022_10K_0014|AMD_2022_10K_0011|AMD_2022_10K_0013,1,1.0,both_rank1,117.212,16.207,117.212,38357,958,147884,6710
FinanceBench,financebench_id_00917,financebench_id_00917,AMD,AMD_2022_10K,,"What drove operating margin change as of the FY22 for AMD? If operating margin is not a useful metric for a company like this, then please state that and explain why.",AMD_2022_10K_0012,AMD_2022_10K_0012,AMD_2022_10K_0012|AMD_2022_10K_0014|AMD_2022_10K_0013|AMD_2022_10K_0011,1,1.0,both_rank1,110.934,20.312,110.934,38449,1604,148114,6446
FinanceBench,financebench_id_01279,financebench_id_01279,AMD,AMD_2022_10K,,"Among operations, investing, and financing activities, which brought in the most (or lost the least) cash flow for AMD in FY22?",AMD_2022_10K_0014,AMD_2022_10K_0012,AMD_2022_10K_0014|AMD_2022_10K_0012|AMD_2022_10K_0013|AMD_2022_10K_0011,0,1.0,mrr_rank1_only,104.921,27.202,104.921,38421,1239,147048,5625
FinanceBench,financebench_id_00563,financebench_id_00563,AMD,AMD_2022_10K,,"From FY21 to FY22, excluding Embedded, in which AMD reporting segment did sales proportionally increase the most?",AMD_2022_10K_0012,AMD_2022_10K_0012,AMD_2022_10K_0012|AMD_2022_10K_0014|AMD_2022_10K_0011,1,1.0,both_rank1,102.308,26.341,102.308,38401,1363,133064,5009
FinanceBench,financebench_id_00757,financebench_id_00757,AMD,AMD_2022_10K,,Did AMD report customer concentration in FY22?,AMD_2022_10K_0003,AMD_2022_10K_0014,AMD_2022_10K_0014|AMD_2022_10K_0003|AMD_2022_10K_0004|AMD_2022_10K_0002|AMD_2022_10K_0013,0,2.0,mrr_lower_only,115.138,28.254,115.138,59430,1668,181081,5785
FinanceBench,financebench_id_01028,financebench_id_01028,American Express,AMERICANEXPRESS_2022_10K,,What are the geographies that American Express primarily operates in as of 2022?,AMERICANEXPRESS_2022_10K_0116,AMERICANEXPRESS_2022_10K_0113,AMERICANEXPRESS_2022_10K_0116|AMERICANEXPRESS_2022_10K_0115|AMERICANEXPRESS_2022_10K_0113|AMERICANEXPRESS_2022_10K_0003|AMERICANEXPRESS_2022_10K_0027,0,1.0,mrr_rank1_only,118.706,38.471,118.706,53599,2702,145716,8106
FinanceBench,financebench_id_00723,financebench_id_00723,American Express,AMERICANEXPRESS_2022_10K,,"Does AMEX have an improving operating margin profile as of 2022? If operating margin is not a useful metric for a company like this, then state that and explain why.",AMERICANEXPRESS_2022_10K_0028,AMERICANEXPRESS_2022_10K_0017,AMERICANEXPRESS_2022_10K_0016|AMERICANEXPRESS_2022_10K_0028|AMERICANEXPRESS_2022_10K_0017|AMERICANEXPRESS_2022_10K_0015|AMERICANEXPRESS_2022_10K_0027,0,2.0,mrr_lower_only,145.312,44.523,145.312,42486,3148,150447,9848
FinanceBench,financebench_id_00720,financebench_id_00720,American Express,AMERICANEXPRESS_2022_10K,,"What drove gross margin change as of the FY2022 for American Express? If gross margin is not a useful metric for a company like this, then please state that and explain why.",AMERICANEXPRESS_2022_10K_0028,AMERICANEXPRESS_2022_10K_0017,AMERICANEXPRESS_2022_10K_0017|AMERICANEXPRESS_2022_10K_0016|AMERICANEXPRESS_2022_10K_0015|AMERICANEXPRESS_2022_10K_0018|AMERICANEXPRESS_2022_10K_0014,0,,both_fail,96.828,29.057,96.828,42490,2058,154573,7098
FinanceBench,financebench_id_01351,financebench_id_01351,American Express,AMERICANEXPRESS_2022_10K,,How much has the effective tax rate of American Express changed between FY2021 and FY2022?,AMERICANEXPRESS_2022_10K_0016,AMERICANEXPRESS_2022_10K_0017,AMERICANEXPRESS_2022_10K_0017|AMERICANEXPRESS_2022_10K_0107|AMERICANEXPRESS_2022_10K_0016|AMERICANEXPRESS_2022_10K_0028|AMERICANEXPRESS_2022_10K_0106,0,3.0,mrr_lower_only,88.882,22.489,88.882,42422,1109,174212,5885
FinanceBench,financebench_id_01964,financebench_id_01964,American Express,AMERICANEXPRESS_2022_10K,,What was the largest liability in American Express's Balance Sheet in 2022?,AMERICANEXPRESS_2022_10K_0028,AMERICANEXPRESS_2022_10K_0028,AMERICANEXPRESS_2022_10K_0028|AMERICANEXPRESS_2022_10K_0071|AMERICANEXPRESS_2022_10K_0026|AMERICANEXPRESS_2022_10K_0027|AMERICANEXPRESS_2022_10K_0024,1,1.0,both_rank1,150.27,16.105,150.27,41486,961,197903,9484
FinanceBench,financebench_id_01981,financebench_id_01981,American Express,AMERICANEXPRESS_2022_10K,,Was American Express able to retain card members during 2022?,AMERICANEXPRESS_2022_10K_0016,AMERICANEXPRESS_2022_10K_0016,AMERICANEXPRESS_2022_10K_0016|AMERICANEXPRESS_2022_10K_0017|AMERICANEXPRESS_2022_10K_0018|AMERICANEXPRESS_2022_10K_0015|AMERICANEXPRESS_2022_10K_0014,1,1.0,both_rank1,71.449,15.227,71.449,41296,824,154748,4975
FinanceBench,financebench_id_05718,financebench_id_05718,American Water Works,AMERICANWATERWORKS_2020_10K,,How much (in USD billions) did American Water Works pay out in cash dividends for FY2020? Compute or extract the answer by primarily using the details outlined in the statement of cash flows.,AMERICANWATERWORKS_2020_10K_0025,AMERICANWATERWORKS_2020_10K_0025,AMERICANWATERWORKS_2020_10K_0025|AMERICANWATERWORKS_2020_10K_0012|AMERICANWATERWORKS_2020_10K_0024|AMERICANWATERWORKS_2020_10K_0011|AMERICANWATERWORKS_2020_10K_0013,1,1.0,both_rank1,183.67,17.88,183.67,38274,1200,183674,13847
FinanceBench,financebench_id_04417,financebench_id_04417,Best Buy,BESTBUY_2019_10K,,What is the year end FY2019 total amount of inventories for Best Buy? Answer in USD millions. Base your judgments on the information provided primarily in the balance sheet.,BESTBUY_2019_10K_0064,BESTBUY_2019_10K_0064,BESTBUY_2019_10K_0064|BESTBUY_2019_10K_0063,1,1.0,both_rank1,159.788,18.549,159.788,35453,1256,121973,11422
FinanceBench,financebench_id_00685,financebench_id_00685,Best Buy,BESTBUY_2023_10K,,"Are Best Buy's gross margins historically consistent (not fluctuating more than roughly 2% each year)? If gross margins are not a relevant metric for a company like this, then please state that and explain why.",BESTBUY_2023_10K_0014,BESTBUY_2023_10K_0014,BESTBUY_2023_10K_0012|BESTBUY_2019_10K_0011|BESTBUY_2019_10K_0013|BESTBUY_2019_10K_0019_intro|BESTBUY_2023_10K_0014,1,5.0,accuracy_only_mrr_lower,130.014,27.071,130.014,57182,1933,194668,9112
FinanceBench,financebench_id_01077,financebench_id_01077,Best Buy,BESTBUY_2023_10K,,"What are major acquisitions that Best Buy has done in FY2023, FY2022 and FY2021?",BESTBUY_2023_10K_0014,BESTBUY_2023_10K_0014,BESTBUY_2023_10K_0014|BESTBUY_2023_10K_0012|BESTBUY_2023_10K_0002|BESTBUY_2023_10K_0001|BESTBUY_2023_10K_0011,1,1.0,both_rank1,111.44,26.867,111.44,57098,1989,159710,7663
FinanceBench,financebench_id_01275,financebench_id_01275,Best Buy,BESTBUY_2023_10K,,"Among operations, investing, and financing activities, which brought in the most (or lost the least) cash flow for Best Buy in FY2023?",BESTBUY_2023_10K_0014,BESTBUY_2023_10K_0012,BESTBUY_2023_10K_0014|BESTBUY_2023_10K_0012|BESTBUY_2023_10K_0011,0,1.0,mrr_rank1_only,135.168,19.449,135.168,42332,1289,154862,8751
FinanceBench,financebench_id_00288,financebench_id_00288,Best Buy,BESTBUY_2024Q2_10Q,,Was there any drop in Cash & Cash equivalents between FY 2023 and Q2 of FY2024?,BESTBUY_2024Q2_10Q_0009,BESTBUY_2024Q2_10Q_0009,BESTBUY_2024Q2_10Q_0009|BESTBUY_2024Q2_10Q_0002|BESTBUY_2024Q2_10Q_0000|BESTBUY_2024Q2_10Q_0001|BESTBUY_2024Q2_10Q_0010,1,1.0,both_rank1,117.106,30.902,117.106,31588,2327,100087,8814
FinanceBench,financebench_id_00460,financebench_id_00460,Best Buy,BESTBUY_2024Q2_10Q,,Was there any change in the number of Best Buy stores between Q2 of FY2024 and FY2023?,BESTBUY_2024Q2_10Q_0009,BESTBUY_2024Q2_10Q_0009,BESTBUY_2024Q2_10Q_0009,1,1.0,both_rank1,68.241,14.297,68.241,31592,977,87923,4710
FinanceBench,financebench_id_01902,financebench_id_01902,Best Buy,BESTBUY_2024Q2_10Q,,Which Best Buy product category performed the best (by top line) in the domestic (USA) Market during Q2 of FY2024?,BESTBUY_2024Q2_10Q_0009,BESTBUY_2024Q2_10Q_0009,BESTBUY_2024Q2_10Q_0009,1,1.0,both_rank1,68.268,15.603,68.268,31612,1091,87968,5001
FinanceBench,financebench_id_04660,financebench_id_04660,Block,BLOCK_2016_10K,,"Considering the data in the balance sheet, what is Block's (formerly known as Square) FY2016 working capital ratio? Define working capital ratio as total current assets divided by total current liabilities. Round your answer to two decimal places.",BLOCK_2016_10K_0058,BLOCK_2016_10K_0059,BLOCK_2016_10K_0059|BLOCK_2016_10K_0052|BLOCK_2020_10K_0063|BLOCK_2016_10K_0053|BLOCK_2016_10K_0054,0,,both_fail,206.823,206.823,206.823,207753,12641,207753,12641
FinanceBench,financebench_id_03838,financebench_id_03838,Block,BLOCK_2020_10K,,What is the FY2019 - FY2020 total revenue growth rate for Block (formerly known as Square)? Answer in units of percents and round to one decimal place. Approach the question asked by assuming the standpoint of an investment banking analyst who only has access to the statement of income.,BLOCK_2020_10K_0071,BLOCK_2020_10K_0072,BLOCK_2020_10K_0072|BLOCK_2020_10K_0063|BLOCK_2020_10K_0064,0,,both_fail,155.056,30.509,155.056,31330,1500,119823,8972
FinanceBench,financebench_id_07661,financebench_id_07661,Block,BLOCK_2020_10K,,"Using the cash flow statement, answer the following question to the best of your abilities: how much did Block (formerly known as Square) generate in cash flow from operating activities in FY2020? Answer in USD millions.",BLOCK_2020_10K_0074,BLOCK_2020_10K_0075,BLOCK_2020_10K_0075|BLOCK_2020_10K_0064|BLOCK_2020_10K_0063,0,,both_fail,121.042,22.029,121.042,30738,1397,141357,8011
FinanceBench,financebench_id_10285,financebench_id_10285,Boeing,BOEING_2018_10K,,"We need to calculate a financial metric by using information only provided within the balance sheet. Please answer the following question: what is Boeing's year end FY2018 net property, plant, and equipment (in USD millions)?",BOEING_2018_10K_0016,BOEING_2018_10K_0015,BOEING_2018_10K_0016|BOEING_2018_10K_0015|BOEING_2018_10K_0031|BOEING_2018_10K_0030|BOEING_2018_10K_0012,0,1.0,mrr_rank1_only,90.292,22.111,90.292,34331,1584,131136,6185
FinanceBench,financebench_id_00517,financebench_id_00517,Boeing,BOEING_2022_10K,,Are there any product categories / service categories that represent more than 20% of Boeing's revenue for FY2022?,BOEING_2022_10K_0023,BOEING_2022_10K_0023,BOEING_2022_10K_0045|BOEING_2022_10K_0023|BOEING_2022_10K_0022|BOEING_2022_10K_0044|BOEING_2022_10K_0031,1,2.0,accuracy_only_mrr_lower,107.76,26.703,107.76,53396,1390,153316,6628
FinanceBench,financebench_id_01091,financebench_id_01091,Boeing,BOEING_2022_10K,,Has Boeing reported any materially important ongoing legal battles from FY2022?,BOEING_2022_10K_0044,BOEING_2022_10K_0044,BOEING_2022_10K_0044|BOEING_2022_10K_0043|BOEING_2022_10K_0036|BOEING_2022_10K_0045|BOEING_2022_10K_0035,1,1.0,both_rank1,133.242,33.002,133.242,53315,2173,158224,7094
FinanceBench,financebench_id_00678,financebench_id_00678,Boeing,BOEING_2022_10K,,"Does Boeing have an improving gross margin profile as of FY2022? If gross margin is not a useful metric for a company like this, then state that and explain why.",BOEING_2022_10K_0018,BOEING_2022_10K_0018,BOEING_2022_10K_0018|BOEING_2022_10K_0045|BOEING_2022_10K_0024|BOEING_2022_10K_0030|BOEING_2022_10K_0023,1,1.0,both_rank1,242.007,43.839,242.007,53388,3207,160455,9673
FinanceBench,financebench_id_00464,financebench_id_00464,Boeing,BOEING_2022_10K,,Is Boeing's business subject to cyclicality?,BOEING_2022_10K_0007,BOEING_2022_10K_0007,BOEING_2022_10K_0007|BOEING_2022_10K_0006|BOEING_2022_10K_0015|BOEING_2022_10K_0014|BOEING_2022_10K_0008,1,1.0,both_rank1,105.226,24.95,105.226,37575,1211,128081,5210
FinanceBench,financebench_id_00494,financebench_id_00494,Boeing,BOEING_2022_10K,,What production rate changes is Boeing forecasting for FY2023?,BOEING_2022_10K_0007,BOEING_2022_10K_0015,BOEING_2022_10K_0015|BOEING_2022_10K_0014|BOEING_2022_10K_0006|BOEING_2022_10K_0005|BOEING_2022_10K_0004,0,,both_fail,171.376,26.614,171.376,50074,1616,170187,9197
FinanceBench,financebench_id_00585,financebench_id_00585,Boeing,BOEING_2022_10K,,How does Boeing's effective tax rate in FY2022 compare to FY2021?,BOEING_2022_10K_0018,BOEING_2022_10K_0027,BOEING_2022_10K_0027|BOEING_2022_10K_0018|BOEING_2022_10K_0022|BOEING_2022_10K_0026|BOEING_2022_10K_0028,0,2.0,mrr_lower_only,126.924,34.534,126.924,55350,1585,155368,7417
FinanceBench,financebench_id_09724,financebench_id_09724,Coca-Cola,COCACOLA_2021_10K,,What is Coca Cola's FY2021 COGS % margin? Calculate what was asked by utilizing the line items clearly shown in the income statement.,COCACOLA_2021_10K_0016,COCACOLA_2021_10K_0016,COCACOLA_2021_10K_0016|COCACOLA_2021_10K_0013,1,1.0,both_rank1,121.669,20.937,121.669,36317,1088,126532,8184
FinanceBench,financebench_id_02981,financebench_id_02981,Corning,CORNING_2021_10K,,"Taking into account the information outlined in the income statement, what is the FY2019 - FY2021 3 year average unadjusted operating income % margin for Corning? Answer in units of percents and round to one decimal place.",CORNING_2021_10K_0140,CORNING_2021_10K_0060,CORNING_2021_10K_0060|CORNING_2021_10K_0136|CORNING_2021_10K_0118,0,,both_fail,283.738,283.738,283.738,162631,20459,162631,20459
FinanceBench,financebench_id_01346,financebench_id_01346,Corning,CORNING_2022_10K,,How much has the effective tax rate of Corning changed between FY2021 and FY2022?,CORNING_2022_10K_0062_intro,CORNING_2022_10K_0062_intro,CORNING_2022_10K_0062_intro|CORNING_2022_10K_0069|CORNING_2022_10K_0068|CORNING_2022_10K_0067|CORNING_2022_10K_0066,1,1.0,both_rank1,64.965,32.809,64.965,29597,2214,50864,5531
FinanceBench,financebench_id_00005,financebench_id_00005,Corning,CORNING_2022_10K,,"Does Corning have positive working capital based on FY2022 data? If working capital is not a useful or relevant metric for this company, then please state that and explain why.",CORNING_2022_10K_0130,CORNING_2022_10K_0087,CORNING_2022_10K_0087|CORNING_2022_10K_0092|CORNING_2022_10K_0086_intro|CORNING_2022_10K_0057,0,,both_fail,142.129,29.283,142.129,32930,1952,107036,11445
FinanceBench,financebench_id_04209,financebench_id_04209,Costco,COSTCO_2021_10K,,"Using only the information within the balance sheet, how much total assets did Costco have at the end of FY2021? Answer in USD millions.",COSTCO_2021_10K_0013,COSTCO_2021_10K_0013,COSTCO_2021_10K_0013|COSTCO_2021_10K_0012,1,1.0,both_rank1,52.361,14.698,52.361,47479,1031,106413,4296
FinanceBench,financebench_id_01244,financebench_id_01244,CVS Health,CVSHEALTH_2022_10K,,Has CVS Health paid dividends to common shareholders in Q2 of FY2022?,CVSHEALTH_2022_10K_0119,CVSHEALTH_2022_10K_0236,CVSHEALTH_2022_10K_0236|CVSHEALTH_2022_10K_0120|CVSHEALTH_2022_10K_0235|CVSHEALTH_2022_10K_0237|CVSHEALTH_2022_10K_0238,0,,both_fail,96.357,40.38,96.357,44298,3282,83495,8447
FinanceBench,financebench_id_00822,financebench_id_00822,Foot Locker,FOOTLOCKER_2022_8K_dated-2022-05-20,,Were there any board member nominees who had substantially more votes against joining than the other nominees?,FOOTLOCKER_2022_8K_dated_2022_05_20_0001,PEPSICO_2023_8K_dated_2023_05_05_0001,PEPSICO_2023_8K_dated_2023_05_05_0001|FOOTLOCKER_2022_8K_dated_2022_05_20_0001,0,2.0,mrr_lower_only,75.781,25.17,75.781,14428,1500,43737,6114
FinanceBench,financebench_id_00839,financebench_id_00839,Foot Locker,FOOTLOCKER_2022_8K_dated_2022-08-19,,Does Foot Locker's new CEO have previous CEO experience in a similar company to Footlocker?,FOOTLOCKER_2022_8K_dated_2022_08_19_0001,FOOTLOCKER_2022_8K_dated_2022_08_19_0001,FOOTLOCKER_2022_8K_dated_2022_08_19_0001|FOOTLOCKER_2022_8K_dated_2022_08_19_0041_intro|FOOTLOCKER_2022_8K_dated_2022_08_19_0040,1,1.0,both_rank1,161.485,20.09,161.485,17772,1368,76449,10540
FinanceBench,financebench_id_03471,financebench_id_03471,General Mills,GENERALMILLS_2020_10K,,"By drawing conclusions from the information stated only in the statement of financial position, what is General Mills's FY2020 working capital ratio? Define working capital ratio as total current assets divided by total current liabilities. Round your answer to two decimal places.",GENERALMILLS_2020_10K_0018,GENERALMILLS_2020_10K_0018,GENERALMILLS_2020_10K_0018|GENERALMILLS_2020_10K_0010|GENERALMILLS_2020_10K_0017,1,1.0,both_rank1,157.813,17.374,157.813,34766,1142,116725,11073
