dataset,result_file,method,model,variant,top_m,question_reasoning,n_queries,accuracy_at_1,hit_at_5,mrr_at_5,document_accuracy_at_1,avg_latency_seconds,avg_top1_latency_seconds,avg_top5_latency_seconds,avg_input_tokens,avg_output_tokens,avg_total_tokens,avg_top1_input_tokens,avg_top1_output_tokens,avg_top1_total_tokens,avg_top5_input_tokens,avg_top5_output_tokens,avg_top5_total_tokens,successful_rows,accuracy_at_1_pct,hit_at_5_pct,mrr_at_5_pct,document_accuracy_at_1_pct
FinanceBench,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_7_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,7.0,Information extraction,29,0.2413793103448276,0.4827586206896552,0.33045977011494254,0.7586206896551724,0.0001724137931034483,0.0001724137931034483,0.0001724137931034483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,24.137931034482758,48.275862068965516,33.04597701149425,75.86206896551724
FinanceBench,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_7_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,7.0,Information extraction OR Logical reasoning OR,1,0.0,1.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,100.0,25.0,100.0
FinanceBench,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_7_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,7.0,Logical reasoning (based on numerical reasoning),2,0.5,1.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,50.0,100.0,66.66666666666666,100.0
FinanceBench,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_7_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,7.0,Logical reasoning (based on numerical reasoning) OR Logical reasoning,5,0.0,0.2,0.1,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,20.0,10.0,60.0
FinanceBench,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_7_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,7.0,Logical reasoning (based on numerical reasoning) OR Numerical reasoning OR Logical reasoning,4,0.5,0.75,0.625,1.0,0.00025,0.00025,0.00025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,50.0,75.0,62.5,100.0
FinanceBench,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_7_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,7.0,Numerical reasoning,20,0.2,0.4,0.2833333333333333,0.9,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,20.0,40.0,28.333333333333332,90.0
FinanceBench,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_7_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,7.0,Numerical reasoning OR Logical reasoning,3,0.0,0.3333333333333333,0.06666666666666667,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,33.33333333333333,6.666666666666667,66.66666666666666
FinanceBench,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_7_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,7.0,Numerical reasoning OR information extraction,4,0.0,0.25,0.08333333333333333,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,25.0,8.333333333333332,75.0
FinanceBench,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_7_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,7.0,,43,0.2558139534883721,0.5581395348837209,0.3682170542635659,0.7906976744186046,0.0001627906976744186,0.0001627906976744186,0.0001627906976744186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,25.581395348837212,55.81395348837209,36.82170542635659,79.06976744186046
FinanceBench,hybrid_pageindex_chunk_rerank_linq_embed_mistral_top_m_10_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,chunk_rerank,10.0,Information extraction,29,0.27586206896551724,0.5172413793103449,0.3706896551724138,0.8275862068965517,0.0005517241379310345,0.0005517241379310345,0.0005517241379310345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,27.586206896551722,51.724137931034484,37.06896551724138,82.75862068965517
FinanceBench,hybrid_pageindex_chunk_rerank_linq_embed_mistral_top_m_10_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,chunk_rerank,10.0,Information extraction OR Logical reasoning OR,1,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
FinanceBench,hybrid_pageindex_chunk_rerank_linq_embed_mistral_top_m_10_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,chunk_rerank,10.0,Logical reasoning (based on numerical reasoning),2,0.5,0.5,0.5,0.5,0.0005,0.0005,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,50.0,50.0,50.0,50.0
FinanceBench,hybrid_pageindex_chunk_rerank_linq_embed_mistral_top_m_10_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,chunk_rerank,10.0,Logical reasoning (based on numerical reasoning) OR Logical reasoning,5,0.2,0.2,0.2,0.8,0.0002,0.0002,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,20.0,20.0,20.0,80.0
FinanceBench,hybrid_pageindex_chunk_rerank_linq_embed_mistral_top_m_10_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,chunk_rerank,10.0,Logical reasoning (based on numerical reasoning) OR Numerical reasoning OR Logical reasoning,4,0.25,0.5,0.3125,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,25.0,50.0,31.25,75.0
FinanceBench,hybrid_pageindex_chunk_rerank_linq_embed_mistral_top_m_10_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,chunk_rerank,10.0,Numerical reasoning,20,0.3,0.55,0.3716666666666667,0.9,0.0006000000000000001,0.0006000000000000001,0.0006000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,30.0,55.00000000000001,37.16666666666667,90.0
FinanceBench,hybrid_pageindex_chunk_rerank_linq_embed_mistral_top_m_10_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,chunk_rerank,10.0,Numerical reasoning OR Logical reasoning,3,0.0,0.0,0.0,0.6666666666666666,0.0003333333333333333,0.0003333333333333333,0.0003333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,66.66666666666666
FinanceBench,hybrid_pageindex_chunk_rerank_linq_embed_mistral_top_m_10_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,chunk_rerank,10.0,Numerical reasoning OR information extraction,4,0.0,0.25,0.05,1.0,0.0005,0.0005,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,25.0,5.0,100.0
FinanceBench,hybrid_pageindex_chunk_rerank_linq_embed_mistral_top_m_10_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,chunk_rerank,10.0,,43,0.13953488372093023,0.5348837209302325,0.28178294573643414,0.813953488372093,0.0003488372093023256,0.0003488372093023256,0.0003488372093023256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,13.953488372093023,53.48837209302325,28.178294573643413,81.3953488372093
FinanceBench,hybrid_pageindex_chunk_rerank_linq_embed_mistral_top_m_5_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,chunk_rerank,5.0,Information extraction,29,0.3103448275862069,0.5172413793103449,0.3775862068965517,0.8275862068965517,0.0003448275862068966,0.0003448275862068966,0.0003448275862068966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,31.03448275862069,51.724137931034484,37.75862068965517,82.75862068965517
FinanceBench,hybrid_pageindex_chunk_rerank_linq_embed_mistral_top_m_5_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,chunk_rerank,5.0,Information extraction OR Logical reasoning OR,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
FinanceBench,hybrid_pageindex_chunk_rerank_linq_embed_mistral_top_m_5_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,chunk_rerank,5.0,Logical reasoning (based on numerical reasoning),2,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,50.0,50.0,50.0,50.0
FinanceBench,hybrid_pageindex_chunk_rerank_linq_embed_mistral_top_m_5_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,chunk_rerank,5.0,Logical reasoning (based on numerical reasoning) OR Logical reasoning,5,0.0,0.0,0.0,0.8,0.0006000000000000001,0.0006000000000000001,0.0006000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,80.0
FinanceBench,hybrid_pageindex_chunk_rerank_linq_embed_mistral_top_m_5_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,chunk_rerank,5.0,Logical reasoning (based on numerical reasoning) OR Numerical reasoning OR Logical reasoning,4,0.25,0.5,0.375,0.75,0.00025,0.00025,0.00025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,25.0,50.0,37.5,75.0
FinanceBench,hybrid_pageindex_chunk_rerank_linq_embed_mistral_top_m_5_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,chunk_rerank,5.0,Numerical reasoning,20,0.2,0.45,0.29333333333333333,0.9,0.00025,0.00025,0.00025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,20.0,45.0,29.333333333333332,90.0
FinanceBench,hybrid_pageindex_chunk_rerank_linq_embed_mistral_top_m_5_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,chunk_rerank,5.0,Numerical reasoning OR Logical reasoning,3,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,66.66666666666666
FinanceBench,hybrid_pageindex_chunk_rerank_linq_embed_mistral_top_m_5_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,chunk_rerank,5.0,Numerical reasoning OR information extraction,4,0.0,0.5,0.125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,50.0,12.5,100.0
